,age,yearID,G,InnOuts,PO,A,E,DP,birthYear,Range Factor,Fielding %,RF Yearly Avg,FP Yearly Avg,Range Factor Difference,Fielding % Difference
0,19.0,1951.75,112.0,2635.0,432.0,147.5,17.125,46.25,1932.75,4.923947369795264,96.78113400869572,4.266871723551243,97.44019161503104,0.6570756462440202,-0.6590576063353097
1,20.0,1957.5,123.11111111111111,3236.904761904762,323.47222222222223,168.61111111111111,17.38888888888889,35.833333333333336,1937.5,4.041926847335271,96.28804787358243,4.216056152473092,97.25424833425038,-0.17412930513782282,-0.966200460667956
2,21.0,1958.8916666666667,129.91666666666666,3326.849315068493,333.78333333333336,158.64166666666668,16.05,33.2,1937.8916666666667,3.7520129455777633,96.59831565615546,4.216993065026727,97.30397921239044,-0.4649801194489593,-0.7056635562349719
3,22.0,1959.3920972644378,129.96656534954408,3349.187817258883,361.97872340425533,175.64741641337386,17.51063829787234,36.80547112462006,1937.3920972644378,4.132169618868817,96.6265143131801,4.219088412104587,97.28878137180997,-0.08691879323576905,-0.6622670586298529
4,23.0,1964.580357142857,128.04910714285714,3229.776765375854,359.9985119047619,168.55208333333334,15.443452380952381,37.642857142857146,1941.580357142857,4.1109073323448,96.93540760174201,4.2004828335334885,97.42965970983471,-0.08957550118868797,-0.4942521080925867
5,24.0,1967.9595015576324,128.1246105919003,3204.898355754858,362.03219106957425,158.59190031152647,13.701973001038422,36.08203530633437,1943.9595015576324,4.025261352830824,97.19181999217624,4.188179259195384,97.48572025486088,-0.16291790636455533,-0.29390026268477937
6,25.0,1968.0928057553956,128.5251798561151,3237.550314465409,372.6611510791367,159.20575539568344,13.766187050359711,36.47338129496403,1943.0928057553956,4.1239307878086615,97.21540956587056,4.191479089788276,97.48775458397529,-0.06754830197962017,-0.2723450181045101
7,26.0,1968.4760051880673,129.42153047989623,3251.9443396226416,378.988326848249,153.82555123216602,12.75810635538262,36.235408560311285,1942.4760051880673,4.09443386096187,97.38710750199296,4.195224775085596,97.490312804899,-0.10079091412372103,-0.10320530290615638
8,27.0,1967.882039122703,129.21339656194428,3261.6486013986014,395.4789567279194,150.68998221695318,12.525192649673977,36.55068168346177,1940.882039122703,4.205738616699434,97.44614067541215,4.197490461748595,97.48672111010175,0.008248154950841968,-0.04058043468961579
9,28.0,1967.6173134328358,128.84059701492538,3261.711210762332,403.7492537313433,144.72298507462688,11.922388059701493,36.211940298507464,1939.6173134328358,4.242855818473557,97.56818863047195,4.201889231175931,97.49322283992198,0.0409665872976146,0.07496579055028807
10,29.0,1967.6492921492923,128.49485199485198,3242.0751445086707,395.87644787644786,147.73680823680823,11.617117117117116,36.97940797940798,1938.6492921492923,4.210648329806668,97.61334032157443,4.1999682790076625,97.48731313918944,0.01068005079900903,0.12602718238517097
11,30.0,1967.0554385964913,127.84491228070175,3228.3110871905274,388.9845614035088,145.13684210526316,11.786666666666667,34.79929824561403,1937.0554385964913,4.1617159572717615,97.56797186075299,4.2064763098504985,97.47069530893799,-0.044760352578735056,0.09727655181497934
12,31.0,1966.2704852824183,128.31742243436753,3220.756554307116,402.406523468576,139.77008750994432,11.661893396976929,35.175815433572,1935.2704852824183,4.203693549508198,97.56355447524219,4.209681818704194,97.44694611844753,-0.005988269196000955,0.1166083567945879
13,32.0,1968.6704331450094,127.53860640301318,3182.807142857143,396.17984934086627,144.24858757062148,11.139359698681732,36.00282485875706,1936.6704331450094,4.217415602195354,97.68223088092911,4.204031684749024,97.51573196879178,0.013383917446333458,0.16649891213714157
14,33.0,1967.846783625731,127.05614035087719,3173.883847549909,421.62573099415204,132.58947368421053,10.777777777777779,36.09122807017544,1934.846783625731,4.344207395181907,97.71861963155352,4.210226807856001,97.48139868526206,0.13398058732590415,0.23722094629123502
15,34.0,1967.6910197869101,126.91628614916286,3174.4657210401892,428.96042617960427,135.26940639269407,10.902587519025875,37.112633181126334,1933.6910197869101,4.3941458144895815,97.76914368622836,4.2113605274291315,97.46755101908381,0.1827852870604476,0.30159266714468785
16,35.0,1968.628205128205,124.96367521367522,3106.4901960784314,416.1517094017094,134.52350427350427,10.959401709401709,35.995726495726494,1933.628205128205,4.39335500952107,97.7574652488399,4.201408799288,97.47724651491689,0.1919462102330733,0.2802187339230288
17,36.0,1968.4148606811145,124.25077399380805,3052.980582524272,445.0371517027864,118.62848297213623,10.551083591331269,36.414860681114554,1932.4148606811145,4.518239008253683,97.80359675519634,4.207147139203114,97.49198677745078,0.31109186905056224,0.31160997774572574
18,37.0,1967.330357142857,124.33035714285714,3075.304054054054,423.01785714285717,123.875,10.629464285714286,35.61607142857143,1930.330357142857,4.405705665161125,97.69975117718889,4.204025223636914,97.45303648428889,0.20168044152421086,0.24671469290006348
19,38.0,1966.7698412698412,122.33333333333333,3031.4444444444443,431.0079365079365,127.74603174603175,10.182539682539682,37.56349206349206,1928.7698412698412,4.600924128272501,97.91199996286515,4.208117331384695,97.40919453392999,0.3928067968878077,0.5028054289351546
20,39.0,1963.5428571428572,122.2,3089.35,364.64285714285717,131.95714285714286,10.914285714285715,31.785714285714285,1924.5428571428572,4.0044153214786675,97.60409719809036,4.224712374343972,97.3059137368818,-0.22029705286530332,0.29818346120854966
21,40.0,1970.608695652174,118.02173913043478,2833.9032258064517,382.0217391304348,123.3913043478261,10.891304347826088,35.47826086956522,1930.608695652174,4.3766038666778035,97.64773001520632,4.1916660146670885,97.53669643194154,0.1849378520107137,0.11103358326483243
22,41.0,1970.4444444444443,119.0,2833.5,345.72222222222223,144.88888888888889,10.666666666666666,33.0,1929.4444444444443,4.042574058771864,97.79770633304518,4.201814208147987,97.47635661855766,-0.15924014937612227,0.32134971448749716
23,42.0,1969.2727272727273,117.54545454545455,2682.8571428571427,316.0,183.27272727272728,13.0,36.54545454545455,1927.2727272727273,4.223715074783244,97.3974211303711,4.230807118111938,97.63656961974719,-0.007092043328692813,-0.23914848937605304
